Heroe 1,Heroe 2,Result
Aquaman,Ares,2
Aquaman,Atom Smasher,2
Aquaman,Batman,2
Aquaman,Black Adam,2
Aquaman,Black Canary,2
Aquaman,Black Manta,2
Aquaman,Black Mask,2
Aquaman,Bloodsport,2
Aquaman,Captain Boomerang,2
Aquaman,Cassandra Cain,2
Aquaman,Cheetah,2
Aquaman,Cyborg,2
Aquaman,Cyclone,2
Aquaman,Dark Flash,2
Aquaman,Darkseid,2
Aquaman,Deadshot,2
Aquaman,Doctor Fate,2
Aquaman,Doctor Sivana,2
Aquaman,Doomsday,2
Aquaman,El Diablo,2
Aquaman,Enchantress,2
Aquaman,Envy,2
Aquaman,Faora,2
Aquaman,Freddy Freeman,2
Aquaman,General Zod,2
Aquaman,Gluttony,2
Aquaman,Green Lantern,2
Aquaman,Harley Quinn,2
Aquaman,Hawkman,2
Aquaman,Hespera,2
Aquaman,Huntress,2
Aquaman,Incubus,2
Aquaman,Joker,2
Aquaman,Jor-El,2
Aquaman,Judomaster,2
Aquaman,Karathen,2
Aquaman,Katana,2
Aquaman,Killer Croc,2
Aquaman,King Nereus,2
Aquaman,King Shark,2
Aquaman,Lust,2
Aquaman,Mera,2
Aquaman,Mister Zsasz,2
Aquaman,Nam-Ek,2
Aquaman,Nuidis Vulko,2
Aquaman,Ocean Master,2
Aquaman,Parademon,2
Aquaman,Peacemaker,2
Aquaman,Penthesileia,2
Aquaman,Philippus,2
Aquaman,Polka-Dot Man,2
Aquaman,Queen Atlanna,2
Aquaman,Queen Hippolyta,2
Aquaman,Ratcatcher,2
Aquaman,Rick Flag,2
Aquaman,Sabbac,2
Aquaman,Savant,2
Aquaman,Shazam,2
Aquaman,Slipknot,2
Aquaman,Sol Soria,2
Aquaman,Starro,2
Aquaman,Steppenwolf,2
Aquaman,Supergirl,2
Aquaman,Superman,2
Aquaman,T.D.K.,2
Aquaman,The Flash,2
Aquaman,Vigilante,2
Aquaman,White Dragon,2
Aquaman,Wonder Woman (Armor of Asteria),2
Aquaman,Wrath,2
Aquaman,Agatha Harkness,1
Aquaman,Abomination,1
Aquaman,Ajak,1
Aquaman,Ancient One (time stone),1
Aquaman,Ancient One,1
Aquaman,Ant-Man,1
Aquaman,Arishem The Judge,2
Aquaman,Ayo,2
Aquaman,Baby Groot,2
Aquaman,Baron Mordo,2
Aquaman,Baron Zemo,2
Aquaman,Black Bolt (Earth 838),2
Aquaman,Black Bolt,2
Aquaman,Black Panther,2
Aquaman,Black Widow,2
Aquaman,Bucky Barnes,2
Aquaman,Bullseye,2
Aquaman,Captain America,2
Aquaman,Captain America (Worthy),2
Aquaman,Captain Carter (Earth 838),2
Aquaman,Captain Marvel,2
Aquaman,Chitauri Footsoldier,2
Aquaman,Corvus Glaive,2
Aquaman,Crossbones,2
Aquaman,Cull Obsidian,2
Aquaman,Dar-Benn,2
Aquaman,Daredevil,2
Aquaman,Deathlok,2
Aquaman,Destroyer,2
Aquaman,Doctor Strange,2
Aquaman,Dormammu,2
Aquaman,Drax The Destroyer,2
Aquaman,Ebony Maw,2
Aquaman,Echo,2
Aquaman,Ego,2
Aquaman,Elektra,2
Aquaman,Eternity,2
Aquaman,Falcon,2
Aquaman,Fandral,2
Aquaman,Fat Thor,2
Aquaman,Fenris,2
Aquaman,Frigga,2
Aquaman,G'iah,2
Aquaman,Gamora,2
Aquaman,Gargantos,2
Aquaman,Ghost,2
Aquaman,Ghost Rider,2
Aquaman,Giant-Man,2
Aquaman,Gilgamesh,2
Aquaman,Gorr The God Butcher,2
Aquaman,Gravik,2
Aquaman,Groot,2
Aquaman,Hawkeye,2
Aquaman,Heimdall,2
Aquaman,Hela,2
Aquaman,High Evolutionary,2
Aquaman,Hulk (Stark Gauntlet),2
Aquaman,Hulk,2
Aquaman,Ikaris,2
Aquaman,Iron Fist,2
Aquaman,Iron Man,2
Aquaman,Iron Man (Mk 1),2
Aquaman,Iron Man (Stark Gauntlet),2
Aquaman,Iron Man (Hulkbuster),2
Aquaman,Iron Monger,2
Aquaman,Iron Spider,2
Aquaman,Ironheart,2
Aquaman,Jemiah The Analyzer,2
Aquaman,Jessica Jones,2
Aquaman,Kaecilius,2
Aquaman,Kang the Conqueror,2
Aquaman,Killian,2
Aquaman,Killmonger,2
Aquaman,Kingo,2
Aquaman,Kingpin,2
Aquaman,Korath The Pursuer,2
Aquaman,Korg,2
Aquaman,Kro,2
Aquaman,Kurse,2
Aquaman,Kid Loki,2
Aquaman,Lady Loki,2
Aquaman,Leo Fitz,2
Aquaman,Leviathan,2
Aquaman,Loki,2
Aquaman,Loki (Mind Stone),2
Aquaman,Loki (Keeper Of The Multiverse),2
Aquaman,Loki (Variant L1130),2
Aquaman,Loki (King of Asgard),2
Aquaman,Luke Cage,2
Aquaman,M'baku,2
Aquaman,Makkari,2
Aquaman,Malekith (Reality Stone),2
Aquaman,Malekith,2
Aquaman,Mandarin,2
Aquaman,Mantis,2
Aquaman,Mighty Thor,2
Aquaman,MODOK,2
Aquaman,Moon Knight,2
Aquaman,Mr. Fantastic (Earth 838),2
Aquaman,Mr. Knight,2
Aquaman,Ms. America,2
Aquaman,Ms. Marvel,2
Aquaman,Mysterio,2
Aquaman,Namor,2
Aquaman,Nebula,2
Aquaman,Nick Fury,2
Aquaman,Nomad,2
Aquaman,Odin,2
Aquaman,Okoye,2
Aquaman,Outrider,2
Aquaman,Pepper Potts (Extremis),2
Aquaman,Phastos,2
Aquaman,Photon,2
Aquaman,Proxima Midnight,2
Aquaman,Quake,2
Aquaman,Quicksilver,2
Aquaman,Red Guardian,2
Aquaman,Red Skull (Stonekeeper),2
Aquaman,Red Skull,2
Aquaman,Rescue,2
Aquaman,Rocket Raccoon,2
Aquaman,Ronan The Accuser (Power Stone),2
Aquaman,Ronan The Accuser,2
Aquaman,Ronin,2
Aquaman,Scarlet Witch,2
Aquaman,Sersi (uni-mind),2
Aquaman,Sersi,2
Aquaman,Shang-Chi,2
Aquaman,She-Hulk,2
Aquaman,Shuri,2
Aquaman,Sif,2
Aquaman,Sinister Strange,2
Aquaman,Smart Hulk,2
Aquaman,Spectral Vision,2
Aquaman,Spider-Man,2
Aquaman,Star-Lord (Celestial Power),2
Aquaman,Star-Lord,2
Aquaman,Stature,2
Aquaman,Surtur,2
Aquaman,Swole Groot,2
Aquaman,Talos The Untamed,2
Aquaman,Taskmaster,2
Aquaman,Teenage Groot,2
Aquaman,Thanos,2
Aquaman,Thanos (Infinity Gauntlet),2
Aquaman,The Collector,2
Aquaman,The Executioner,2
Aquaman,The Grandmaster,2
Aquaman,The Great Protector,2
Aquaman,The Punisher,2
Aquaman,Thena,2
Aquaman,Thor (Pre-Ragnarok),2
Aquaman,Thor (Awakened),2
Aquaman,Thor,2
Aquaman,Ultron,2
Aquaman,Unworthy Thor,2
Aquaman,Valkyrie,2
Aquaman,Vision,2
Aquaman,Volstagg,2
Aquaman,Vulture,2
Aquaman,Wanda Maximoff (Pre-WandaVision),2
Aquaman,War Machine,2
Aquaman,Warlock,2
Aquaman,Wasp,2
Aquaman,Whiplash,2
Aquaman,Whiplash (Mark II),2
Aquaman,White Wolf,2
Aquaman,Winter Soldier,2
Aquaman,Wolverine,2
Aquaman,Wong,2
Aquaman,YellowJacket,2
Aquaman,Yondu,2
Aquaman,Zeus,2
Ares,Atom Smasher,2
Ares,Batman,2
Ares,Black Adam,2
Ares,Black Canary,2
Ares,Black Manta,2
Ares,Black Mask,2
Ares,Bloodsport,2
Ares,Captain Boomerang,2
Ares,Cassandra Cain,2
Ares,Cheetah,2
Ares,Cyborg,2
Ares,Cyclone,2
Ares,Dark Flash,2
Ares,Darkseid,2
Ares,Deadshot,2
Ares,Doctor Fate,2
Ares,Doctor Sivana,2
Ares,Doomsday,2
Ares,El Diablo,2
Ares,Enchantress,2
Ares,Envy,2
Ares,Faora,2
Ares,Freddy Freeman,2
Ares,General Zod,2
Ares,Gluttony,2
Ares,Green Lantern,2
Ares,Harley Quinn,2
Ares,Hawkman,2
Ares,Hespera,2
Ares,Huntress,2
Ares,Incubus,2
Ares,Joker,2
Ares,Jor-El,2
Ares,Judomaster,2
Ares,Karathen,2
Ares,Katana,2
Ares,Killer Croc,2
Ares,King Nereus,2
Ares,King Shark,2
Ares,Lex Luthor,2
Ares,Lust,2
Ares,Mera,2
Ares,Mister Zsasz,2
Ares,Nam-Ek,2
Ares,Nuidis Vulko,2
Ares,Ocean Master,2
Ares,Parademon,2
Ares,Peacemaker,2
Ares,Penthesileia,2
Ares,Philippus,2
Ares,Polka-Dot Man,2
Ares,Queen Atlanna,2
Ares,Queen Hippolyta,2
Ares,Ratcatcher,2
Ares,Rick Flag,2
Ares,Sabbac,2
Ares,Savant,2
Ares,Shazam,2
Ares,Slipknot,2
Ares,Sol Soria,2
Ares,Starro,2
Ares,Steppenwolf,2
Ares,Supergirl,2
Ares,Superman,2
Ares,T.D.K.,2
Ares,The Flash,2
Ares,Vigilante,2
Ares,White Dragon,2
Ares,Wonder Woman (Armor of Asteria),2
Ares,Wrath,2
Ares,Agatha Harkness,1
Ares,Abomination,1
Ares,Ajak,1
Ares,Ancient One (time stone),1
Ares,Ancient One,1
Ares,Ant-Man,1
Ares,Arishem The Judge,2
Ares,Ayo,2
Ares,Baby Groot,2
Ares,Baron Mordo,2
Ares,Baron Zemo,2
Ares,Black Bolt (Earth 838),2
Ares,Black Bolt,2
Ares,Black Panther,2
Ares,Black Widow,2
Ares,Bucky Barnes,2
Ares,Bullseye,2
Ares,Captain America,2
Ares,Captain America (Worthy),2
Ares,Captain Carter (Earth 838),2
Ares,Captain Marvel,2
Ares,Chitauri Footsoldier,2
Ares,Corvus Glaive,2
Ares,Crossbones,2
Ares,Cull Obsidian,2
Ares,Dar-Benn,2
Ares,Daredevil,2
Ares,Deathlok,2
Ares,Destroyer,2
Ares,Doctor Strange,2
Ares,Dormammu,2
Ares,Drax The Destroyer,2
Ares,Ebony Maw,2
Ares,Echo,2
Ares,Ego,2
Ares,Elektra,2
Ares,Eternity,2
Ares,Falcon,2
Ares,Fandral,2
Ares,Fat Thor,2
Ares,Fenris,2
Ares,Frigga,2
Ares,G'iah,2
Ares,Gamora,2
Ares,Gargantos,2
Ares,Ghost,2
Ares,Ghost Rider,2
Ares,Giant-Man,2
Ares,Gilgamesh,2
Ares,Gorr The God Butcher,2
Ares,Gravik,2
Ares,Groot,2
Ares,Hawkeye,2
Ares,Heimdall,2
Ares,Hela,2
Ares,High Evolutionary,2
Ares,Hulk (Stark Gauntlet),2
Ares,Hulk,2
Ares,Ikaris,2
Ares,Iron Fist,2
Ares,Iron Man,2
Ares,Iron Man (Mk 1),2
Ares,Iron Man (Stark Gauntlet),2
