Heroe 1,Heroe 2,Result
Aquaman,Ares,1
Aquaman,Atom Smasher,2
Aquaman,Batman,1
Aquaman,Black Adam,1
Aquaman,Black Canary,2
Aquaman,Black Manta,2
Aquaman,Black Mask,2
Aquaman,Bloodsport,2
Aquaman,Captain Boomerang,2
Aquaman,Cassandra Cain,1
Aquaman,Cheetah,2
Aquaman,Cyborg,2
Aquaman,Cyclone,2
Aquaman,Dark Flash,2
Aquaman,Darkseid,1
Aquaman,Deadshot,2
Aquaman,Doctor Fate,1
Aquaman,Doctor Sivana,2
Aquaman,Doomsday,1
Aquaman,El Diablo,1
Aquaman,Enchantress,1
Aquaman,Envy,2
Aquaman,Faora,1
Aquaman,Freddy Freeman,1
Aquaman,General Zod,1
Aquaman,Gluttony,1
Aquaman,Green Lantern,1
Aquaman,Harley Quinn,2
Aquaman,Hawkman,2
Aquaman,Hespera,2
Aquaman,Huntress,2
Aquaman,Incubus,2
Aquaman,Joker,2
Aquaman,Jor-El,1
Aquaman,Judomaster,1
Aquaman,Karathen,1
Aquaman,Katana,1
Aquaman,Killer Croc,2
Aquaman,King Nereus,1
Aquaman,King Shark,1
Aquaman,Lex Luthor,2
Aquaman,Lust,1
Aquaman,Mera,1
Aquaman,Mister Zsasz,2
Aquaman,Nam-Ek,2
Aquaman,Nuidis Vulko,2
Aquaman,Ocean Master,2
Aquaman,Parademon,1
Aquaman,Peacemaker,1
Aquaman,Penthesileia,1
Aquaman,Philippus,2
Aquaman,Polka-Dot Man,2
Aquaman,Queen Atlanna,1
Aquaman,Queen Hippolyta,1
Aquaman,Ratcatcher,1
Aquaman,Rick Flag,2
Aquaman,Sabbac,1
Aquaman,Savant,2
Aquaman,Shazam,1
Aquaman,Slipknot,1
Aquaman,Sol Soria,1
Aquaman,Starro,1
Aquaman,Steppenwolf,1
Aquaman,Supergirl,1
Aquaman,Superman,1
Aquaman,T.D.K.,1
Aquaman,The Flash,1
Aquaman,Vigilante,2
Aquaman,White Dragon,2
Aquaman,Wonder Woman (Armor of Asteria),2
Aquaman,Wrath,2
Aquaman,Zeus,1
Aquaman,Agatha Harkness,2
Aquaman,Abomination,1
Aquaman,Ajak,1
Aquaman,Ancient One (time stone),1
Aquaman,Ancient One,2
Aquaman,Ant-Man,1
Aquaman,Arishem The Judge,1
Aquaman,Ayo,2
Aquaman,Baby Groot,2
Aquaman,Baron Mordo,1
Aquaman,Baron Zemo,1
Aquaman,Black Bolt (Earth 838),1
Aquaman,Black Bolt,1
Aquaman,Black Panther,2
Aquaman,Black Panther,1
Aquaman,Black Widow,2
Aquaman,Black Widow,2
Aquaman,Bucky Barnes,1
Aquaman,Bullseye,2
Aquaman,Captain America,2
Aquaman,Captain America (Worthy),2
Aquaman,Captain Carter (Earth 838),2
Aquaman,Captain Marvel,2
Aquaman,Chitauri Footsoldier,2
Aquaman,Corvus Glaive,2
Aquaman,Crossbones,2
Aquaman,Cull Obsidian,1
Aquaman,Dar-Benn,1
Aquaman,Daredevil,1
Aquaman,Deathlok,2
Aquaman,Destroyer,2
Aquaman,Doctor Strange,1
Aquaman,Dormammu,2
Aquaman,Drax The Destroyer,2
Aquaman,Ebony Maw,1
Aquaman,Echo,2
Aquaman,Ego,1
Aquaman,Elektra,2
Aquaman,Eternity,2
Aquaman,Falcon,2
Aquaman,Fandral,2
Aquaman,Fat Thor,2
Aquaman,Fenris,1
Aquaman,Frigga,2
Aquaman,G'iah,1
Aquaman,Gamora,2
Aquaman,Gargantos,1
Aquaman,Ghost,1
Aquaman,Ghost Rider,1
Aquaman,Giant-Man,1
Aquaman,Gilgamesh,1
Aquaman,Gorr The God Butcher,1
Aquaman,Gravik,1
Aquaman,Groot,2
Aquaman,Hawkeye,1
Aquaman,Hawkeye,1
Aquaman,Heimdall,1
Aquaman,Hela,1
Aquaman,High Evolutionary,1
Aquaman,Hulk (Stark Gauntlet),1
Aquaman,Hulk,2
Aquaman,Ikaris,1
Aquaman,Iron Fist,2
Aquaman,Iron Man,1
Aquaman,Iron Man (Mk 1),2
Aquaman,Iron Man (Stark Gauntlet),2
Aquaman,Iron Man (Hulkbuster),2
Aquaman,Iron Monger,1
Aquaman,Iron Spider,2
Aquaman,Ironheart,2
Aquaman,Jemiah The Analyzer,2
Aquaman,Jessica Jones,2
Aquaman,Kaecilius,1
Aquaman,Kang the Conqueror,2
Aquaman,Killian,1
Aquaman,Killmonger,2
Aquaman,Kingo,1
Aquaman,Kingpin,1
Aquaman,Korath The Pursuer,2
Aquaman,Korg,2
Aquaman,Kro,1
Aquaman,Kurse,1
Aquaman,Kid Loki,1
Aquaman,Lady Loki,2
Aquaman,Leo Fitz,1
