Heroe 1,Heroe 2,Ganador
Aquaman,Ares,1
Aquaman,Atom Smasher,2
Aquaman,Batman,2
Aquaman,Black Adam,2
Aquaman,Black Canary,1
Aquaman,Black Manta,1
Aquaman,Black Mask,1
Aquaman,Bloodsport,2
Aquaman,Captain Boomerang,2
Aquaman,Cassandra Cain,1
Aquaman,Cheetah,2
Aquaman,Cyborg,1
Aquaman,Cyclone,2
Aquaman,Dark Flash,1
Aquaman,Darkseid,1
Aquaman,Deadshot,2
Aquaman,Doctor Fate,1
Aquaman,Doctor Sivana,1
Aquaman,Doomsday,1
Aquaman,El Diablo,1
Aquaman,Enchantress,1
Aquaman,Envy,1
Aquaman,Faora,1
Aquaman,Freddy Freeman,2
Aquaman,General Zod,1
Aquaman,Gluttony,1
Aquaman,Green Lantern,1
Aquaman,Harley Quinn,1
Aquaman,Hawkman,2
Aquaman,Hespera,2
Aquaman,Huntress,2
Aquaman,Incubus,1
Aquaman,Joker,2
Aquaman,Jor-El,1
Aquaman,Judomaster,2
Aquaman,Karathen,2
Aquaman,Katana,2
Aquaman,Killer Croc,1
Aquaman,King Nereus,2
Aquaman,King Shark,1
Aquaman,Lex Luthor,1
Aquaman,Lust,1
Aquaman,Mera,2
Aquaman,Mister Zsasz,2
Aquaman,Nam-Ek,2
Aquaman,Nuidis Vulko,2
Aquaman,Ocean Master,1
Aquaman,Parademon,2
Aquaman,Peacemaker,2
Aquaman,Penthesileia,1
Aquaman,Philippus,2
Aquaman,Polka-Dot Man,2
Aquaman,Queen Atlanna,2
Aquaman,Queen Hippolyta,1
Aquaman,Ratcatcher,2
Aquaman,Rick Flag,1
Aquaman,Sabbac,2
Aquaman,Savant,2
Aquaman,Shazam,2
Aquaman,Slipknot,1
Aquaman,Sol Soria,2
Aquaman,Starro,1
Aquaman,Steppenwolf,1
Aquaman,Supergirl,1
Aquaman,Superman,1
Aquaman,T.D.K.,1
Aquaman,The Flash,1
Aquaman,Vigilante,1
Aquaman,White Dragon,1
Aquaman,Wonder Woman (Armor of Asteria),2
Aquaman,Wrath,2
Aquaman,Zeus,2
Aquaman,Agatha Harkness,2
Aquaman,Abomination,2
Aquaman,Ajak,2
Aquaman,Ancient One (time stone),2
Aquaman,Ancient One,2
Aquaman,Ant-Man,1
Aquaman,Arishem The Judge,1
Aquaman,Ayo,2
Aquaman,Baby Groot,2
Aquaman,Baron Mordo,2
Aquaman,Baron Zemo,1
Aquaman,Black Bolt (Earth 838),2
Aquaman,Black Bolt,1
Aquaman,Black Panther,1
Aquaman,Black Panther,2
Aquaman,Black Widow,2
Aquaman,Black Widow,1
Aquaman,Bucky Barnes,1
Aquaman,Bullseye,2
Aquaman,Captain America,2
Aquaman,Captain America (Worthy),2
Aquaman,Captain Carter (Earth 838),2
Aquaman,Captain Marvel,1
Aquaman,Chitauri Footsoldier,1
Aquaman,Corvus Glaive,1
Aquaman,Crossbones,1
Aquaman,Cull Obsidian,1
Aquaman,Dar-Benn,1
Aquaman,Daredevil,1
Aquaman,Deathlok,1
Aquaman,Destroyer,1
Aquaman,Doctor Strange,1
Aquaman,Dormammu,2
Aquaman,Drax The Destroyer,1
Aquaman,Ebony Maw,2
Aquaman,Echo,2
Aquaman,Ego,2
Aquaman,Elektra,1
Aquaman,Eternity,1
Aquaman,Falcon,2
Aquaman,Fandral,2
Aquaman,Fat Thor,2
Aquaman,Fenris,2
Aquaman,Frigga,2
Aquaman,G'iah,2
Aquaman,Gamora,1
Aquaman,Gargantos,2
Aquaman,Ghost,1
Aquaman,Ghost Rider,2
Aquaman,Giant-Man,1
Aquaman,Gilgamesh,2
Aquaman,Gorr The God Butcher,1
Aquaman,Gravik,1
Aquaman,Groot,2
Aquaman,Hawkeye,2
Aquaman,Hawkeye,2
Aquaman,Heimdall,1
Aquaman,Hela,2
Aquaman,High Evolutionary,1
Aquaman,Hulk (Stark Gauntlet),1
Aquaman,Hulk,2
Aquaman,Ikaris,1
Aquaman,Iron Fist,2
Aquaman,Iron Man,2
Aquaman,Iron Man (Mk 1),1
Aquaman,Iron Man (Stark Gauntlet),2
Aquaman,Iron Man (Hulkbuster),1
Aquaman,Iron Monger,1
Aquaman,Iron Spider,2
Aquaman,Ironheart,1
Aquaman,Jemiah The Analyzer,1
Aquaman,Jessica Jones,1
Aquaman,Kaecilius,1
Aquaman,Kang the Conqueror,2
Aquaman,Killian,2
Aquaman,Killmonger,1
Aquaman,Kingo,2
Aquaman,Kingpin,2
Aquaman,Korath The Pursuer,2
Aquaman,Korg,1
Aquaman,Kro,1
Aquaman,Kurse,2
Aquaman,Kid Loki,2
Aquaman,Lady Loki,2
Aquaman,Leo Fitz,2
