,nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
0,Arthur Curry,Aquaman,DC Extended Universe,https://www.superherodb.com/aquaman/10-12533/,65,50,25,30,45,80,3,,"['Animal Control', 'Durability', 'Stamina', 'Super Speed', 'Super Strength', 'Underwater breathing', 'Weapon-based Powers', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Animal Attributes', 'Animal Oriented Powers', 'Cold Resistance', 'Dexterity', 'Element Control', 'Endurance', 'Energy Manipulation', 'Enhanced Sight', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Master Martial Artist', 'Natural Armor', 'Reflexes', 'Telepathy', 'Water Control', 'Weapons Master', 'Invulnerability', 'Longevity', 'DC Comics', 'DCEU - DC Extended Universe', 'Aquaman', 'Batman V Superman: Dawn Of Justice (2016)', 'Blue Ranked Warriors', 'Movie Heroes', 'Roleplaying Collection', 'Zack Snyder’s Justice League (2021)', 'Ezio', 'Aleazlllll', 'Rez005', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Aquaman
1,Ares,Ares,DC Extended Universe,https://www.superherodb.com/ares/10-12597/,90,100,50,50,70,100,4,4,"['Accelerated Healing', 'Chain Manipulation', 'Cold Resistance', 'Dexterity', 'Durability', 'Electrokinesis', 'Empathy', 'Endurance', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Intelligence', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Shapeshifting', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Telekinesis', 'Toxin and Disease Resistance', 'Weapon Creation', 'Weapons Master', 'Weather Control', 'Acid Resistants', 'Agility', 'Element Control', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Fire Control', 'Illusion Resistance', 'Illusions', 'Immortality', 'Invisibility', 'Levitation', 'Magic', 'Memory Manipulation', 'Metal Manipulation', 'Mind Control', 'Mind Control Resistance', 'Power Augmentation', 'Radiation Immunity', 'Regeneration', 'Shockwaves Generation', 'Telepathy', 'Teleportation', 'Terrakinesis', 'Wind Control', 'Invulnerability', 'DC Comics', 'DCEU - DC Extended Universe', 'Ares', 'Red Ranked Warriors', 'Ezio', 'Aleazlllll', 'Rez005', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Ares
2,Albert Rothstein,Atom Smasher,DC Extended Universe,https://www.superherodb.com/atom-smasher/10-27865/,60,30,25,25,40,20,2,,"['Jaw Strength', 'Large Size', 'Size Changing', 'Stamina', 'Fire Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Atom Smasher', 'Ezio', 'Aleazlllll', 'Rez005', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Atom Smasher
3,Bruce Wayne,Batman,DC Extended Universe,https://www.superherodb.com/batman/10-12530/,80,13,11,15,20,95,1,,"['Bloodlust', 'Dexterity', 'Disguise Mastery', 'Durability', 'Endurance', 'Gadget Usage', 'Gliding', 'Hacking', 'Information Analysis', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Preparation', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Vehicular Mastery', 'Weapons Master', 'Acrobatics', 'Agility', 'Animal Oriented Powers', 'Cold Resistance', 'Fear Inducement', 'Fire Resistance', 'Grappling/Climbing', 'Heat Resistance', 'Indomitable Will', 'Intuitive aptitude', 'Jump', 'Pain Suppression', 'Photographic Deduction', 'Reflexes', 'Swordsmanship', 'Wallcrawling', 'Camouflage', 'Explosion Manipulation', 'Instinctive Reaction', 'Mechanical Aptitude', 'Power Suit', 'Pressure Points', 'Weapon-based Powers', 'DC Comics', 'DCEU - DC Extended Universe', 'Batman', 'Batman V Superman: Dawn Of Justice (2016)', 'Batman: Arkham Knight (2015)', 'Movie Heroes', 'My Dceu Batman Trilogy', 'Roleplaying Collection', 'Zack Snyder’s Justice League (2021)', 'Ezio', 'Aleazlllll', 'Rez005', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Batman
4,Teth-Adam,Black Adam,DC Extended Universe,https://www.superherodb.com/black-adam/10-21003/,65,100,75,45,75,75,3,3,"['Afterimage Creation', 'Agility', 'Cold Resistance', 'Durability', 'Electrical Transport', 'Electricity Resistance', 'Electrokinesis', 'Endurance', 'Energy Blasts', 'Fire Resistance', 'Flight', 'Godly Physiology', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Indomitable Will', 'Intelligence', 'Marksmanship', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Accelerated Healing', 'Acid Resistants', 'Energy Manipulation', 'Energy Resistance', 'Holy Manipulation', 'Holy Resistance', 'Immortality', 'Invulnerability', 'Magic', 'Magic Resistance', 'Master Martial Artist', 'Self-Sustenance', 'Shockwaves Generation', 'Transformation', 'Unholy Manipulation', 'Unholy Resistance', 'Dexterity', 'Latent Abilities', 'Regeneration', 'DC Comics', 'DCEU - DC Extended Universe', 'Black Adam', 'Rez005', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Black Adam
5,Dinah Lance,Black Canary,DC Extended Universe,https://www.superherodb.com/black-canary/10-18617/,55,1,6,5,35,40,1,,"['Stamina', 'Singing', 'Sonic Scream', 'Stealth', 'Agility', 'Master Martial Artist', 'Reflexes', 'DC Comics', 'DCEU - DC Extended Universe', 'Black Canary', 'Rez005', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Black Canary
6,David Kane,Black Manta,DC Extended Universe,https://www.superherodb.com/black-manta/10-15579/,70,25,25,20,40,60,2,,"['Durability', 'Stamina', 'Super Speed', 'Super Strength', 'Electrokinesis', 'Energy Beams', 'Flight', 'Power Suit', 'Reflexes', 'Vision - Heat', 'Weapons Master', 'DC Comics', 'DCEU - DC Extended Universe', 'black manta', 'Movie Heroes', 'Rez005', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Black Manta
7,Roman Sionis,Black Mask,DC Extended Universe,https://www.superherodb.com/black-mask/10-18619/,60,1,6,5,5,30,0,,"['DC Comics', 'DCEU - DC Extended Universe', 'Black Mask', 'My Dceu Batman Trilogy', 'Rez005', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Black Mask
8,Robert DuBois,Bloodsport,DC Extended Universe,https://www.superherodb.com/bloodsport/10-21321/,70,1,8,15,20,85,1,,"['Intelligence', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Stealth', 'Weapons Master', 'Agility', 'Cold Resistance', 'Dexterity', 'Endurance', 'Explosion Manipulation', 'Grappling/Climbing', 'Indomitable Will', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Swordsmanship', 'Vision - Night', 'Vision - Thermal', 'Acrobatics', 'Changing Armor', 'Enhanced Sight', 'Fire Control', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Weapon-based Powers', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'Bloodsport', 'Rez005', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Bloodsport
9,Digger Harkness,Captain Boomerang,DC Extended Universe,https://www.superherodb.com/captain-boomerang/10-15413/,45,1,6,7,10,40,0,,"['Stamina', 'Agility', 'Marksmanship', 'Stealth', 'Weapons Master', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'Captain Boomerang', 'Rez005', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Captain Boomerang
10,,Cassandra Cain,DC Extended Universe,https://www.superherodb.com/cassandra-cain/10-18637/,45,1,1,1,1,30,0,,"['Enhanced Thievery', 'DC Comics', 'DCEU - DC Extended Universe', 'TheReinhard', 'Rez005', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Cassandra Cain
11,Barbara Ann Minerva,Cheetah,DC Extended Universe,https://www.superherodb.com/cheetah/10-20281/,60,50,14,15,30,65,1,,"['Acrobatics', 'Agility', 'Animal Attributes', 'Animal Oriented Powers', 'Durability', 'Intelligence', 'Magic', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Dexterity', 'Endurance', 'Jump', 'Cold Resistance', 'Electricity Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Cheetah', 'BlotskyA', 'TheReinhard', 'Rez005', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Cheetah
12,Victor Stone,Cyborg,DC Extended Universe,https://www.superherodb.com/cyborg/10-12532/,70,40,30,35,65,50,2,,"['Durability', 'Hacking', 'Intelligence', 'Mechanical Aptitude', 'Reflexes', 'Robotic Engineering', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Accelerated Healing', 'Acrobatics', 'Adaptation', 'Agility', 'Biokinesis', 'Changing Armor', 'Cold Resistance', 'Danger Sense', 'Dexterity', 'Electricity Absorption', 'Electricity Resistance', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Enhanced Memory', 'Enhanced Sight', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Information Analysis', 'Information Manipulation', 'Intuitive aptitude', 'Jump', 'Levitation', 'Marksmanship', 'Nanotechnology', 'Vision - Night', 'Vision - Thermal', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Energy Manipulation', 'Illumination', 'Invulnerability', 'Master Martial Artist', 'Master Tactician', 'Shapeshifting', 'Toxin and Disease Resistance', 'Transformation', 'DC Comics', 'DCEU - DC Extended Universe', 'Cyborg', 'Batman V Superman: Dawn Of Justice (2016)', 'Blue Ranked Warriors', 'Movie Heroes', 'Roleplaying Collection', 'Zack Snyder’s Justice League (2021)', 'Rez005', 'TheReinhard', 'BlotskyA', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Cyborg
13,Maxine Hunkel,Cyclone,DC Extended Universe,https://www.superherodb.com/cyclone/10-27871/,80,1,25,15,50,40,1,,"['Agility', 'Flight', 'Intuitive aptitude', 'Stamina', 'Wind Control', 'Gadget Usage', 'Reflexes', 'Weather Control', 'DC Comics', 'DCEU - DC Extended Universe', 'Cyclone', 'TheReinhard', 'Rez005', 'BlotskyA', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Cyclone
14,Barry Allen,Dark Flash,DC Extended Universe,https://www.superherodb.com/dark-flash/10-58454/,80,25,100,35,85,50,5,,"['Accelerated Healing', 'Afterimage Creation', 'Agility', 'Bullet Time', 'Dimensional Travel', 'Durability Negation', 'Electrokinesis', 'Heat Generation', 'Heat Resistance', 'Intangibility', 'Intelligence', 'Invisibility', 'Longevity', 'Phasing', 'Reflexes', 'Speed Force', 'Time Manipulation', 'Time Travel', 'Vibration Manipulation', 'Acausality', 'Accelerated Development', 'Acrobatics', 'Aura', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Electro-Magnetism Manipulation', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Illumination', 'Illusion Resistance', 'Interstellar Travel', 'Light Control', 'Regeneration', 'Surface Scaling', 'Time Manipulation Resistance', 'Vortex Creation', 'Weapon-based Powers', 'Weapons Master', 'Wind Control', 'Force Fields', 'Spatial Manipulation', 'DC Comics', 'DCEU - DC Extended Universe', 'TheReinhard', 'Rez005', 'BlotskyA', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Dark Flash
15,Uxas,Darkseid,DC Extended Universe,https://www.superherodb.com/darkseid/10-21002/,95,100,30,55,90,95,4,4,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Beams', 'Energy Resistance', 'Fire Resistance', 'Godly Physiology', 'Heat Generation', 'Heat Resistance', 'Homing Attack', 'Immortality', 'Intelligence', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Omega Effect', 'Omega Sanction', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Weapons Master', 'Agility', 'Empathy', 'Energy Blasts', 'Fear Inducement', 'Fear Manipulation', 'Invulnerability', 'Mind Control', 'Power Sense', 'Regeneration', 'Self-Sustenance', 'Underwater breathing', 'Vision - Heat', 'Acrobatics', 'Aura', 'Dexterity', 'Large Size', 'DC Comics', 'DCEU - DC Extended Universe', 'Darkseid', 'Movie Heroes', 'Zack Snyder’s Justice League (2021)', 'TheReinhard', 'Rez005', 'BlotskyA', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Darkseid
16,Floyd Lawton,Deadshot,DC Extended Universe,https://www.superherodb.com/deadshot/10-12599/,60,1,6,7,17,45,1,0++,"['Intelligence', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Weapons Master', 'Agility', 'Dexterity', 'Endurance', 'Reflexes', 'Stealth', 'Weapon-based Powers', 'Master Tactician', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'Deadshot', 'My Dceu Batman Trilogy', 'Roleplaying Collection', 'White Ranked Warriors', 'TheReinhard', 'Rez005', 'BlotskyA', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Deadshot
17,Kent Nelson,Doctor Fate,DC Extended Universe,https://www.superherodb.com/doctor-fate/10-27717/,85,75,60,45,85,70,3,3+,"['Astral Projection', 'Cloth Manipulation', 'Cold Resistance', 'Duplication', 'Durability', 'Energy Constructs', 'Energy Manipulation', 'Extrasensory Perception', 'Flight', 'Force Fields', 'Hypnokinesis', 'Illumination', 'Illusions', 'Intelligence', 'Invisibility', 'Latent Abilities', 'Levitation', 'Longevity', 'Magic', 'Magic Resistance', 'Mind Control', 'Mind Control Resistance', 'Postcognition', 'Precognition', 'Projection', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Agility', 'Banish', 'Clairvoyance', 'Creation', 'Danger Sense', 'Dexterity', 'Electricity Resistance', 'Electrokinesis', 'Endurance', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Enhanced Sight', 'Fate Resistance', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Illusion Resistance', 'Indomitable Will', 'Information Analysis', 'Marksmanship', 'Memory Manipulation', 'Psionic Powers', 'Psychometry', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Resurrection', 'Sealing', 'Sense Manipulation', 'Sleep Manipulation', 'Stamina', 'Stealth', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Toxin and Disease Resistance', 'Fate Manipulation', 'Master Tactician', 'Transformation', 'Wishing', 'DC Comics', 'DCEU - DC Extended Universe', 'Doctor Fate', 'TheReinhard', 'Rez005', 'BlotskyA', 'Ezio', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Doctor Fate
18,Thaddeus Sivana,Doctor Sivana,DC Extended Universe,https://www.superherodb.com/doctor-sivana/10-17484/,70,95,60,40,70,55,3,,"['Accelerated Healing', 'Agility', 'Cold Resistance', 'Durability', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Intelligence', 'Jump', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Bullet Time', 'Dexterity', 'Electrical Transport', 'Electricity Absorption', 'Electricity Resistance', 'Electrokinesis', 'Energy Blasts', 'Energy Manipulation', 'Heat Generation', 'Illumination', 'Indomitable Will', 'Invulnerability', 'Magic', 'Marksmanship', 'Master Tactician', 'Mind Control Resistance', 'Non-Physical Interaction', 'Radiation Immunity', 'Regeneration', 'Self-Destruction', 'Summoning', 'Telepathy Resistance', 'Self-Sustenance', 'DC Comics', 'DCEU - DC Extended Universe', 'Doctor Sivana', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Doctor Sivana
19,,Doomsday,DC Extended Universe,https://www.superherodb.com/doomsday/10-12587/,35,100,45,45,75,25,3,,"['Accelerated Healing', 'Adaptation', 'Agility', 'Bloodlust', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Electrokinesis', 'Energy Absorption', 'Energy Beams', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Longevity', 'Radiation Absorption', 'Radiation Immunity', 'Reactive Evolution', 'Reactive Power Level', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vision - Heat', 'Berserk Mode', 'Bone Manipulation', 'Dexterity', 'Electricity Absorption', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Flight', 'Heat Generation', 'Illumination', 'Immortality', 'Invulnerability', 'Large Size', 'Rage Power', 'Regeneration', 'Seismic Power', 'Self-Sustenance', 'Super Breath', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Accelerated Development', 'Energy Manipulation', 'DC Comics', 'DCEU - DC Extended Universe', 'Doomsday', 'Batman V Superman: Dawn Of Justice (2016)', 'Movie Heroes', 'Red Ranked Warriors', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Doomsday
20,Chato Santana,El Diablo,DC Extended Universe,https://www.superherodb.com/el-diablo/10-13967/,55,25,6,10,35,45,1,,"['Berserk Mode', 'Fire Control', 'Heat Generation', 'Agility', 'Endurance', 'Fire Resistance', 'Heat Resistance', 'Reflexes', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'El Diablo', 'Roleplaying Collection', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",El Diablo
21,June Moone,Enchantress,DC Extended Universe,https://www.superherodb.com/enchantress/10-13885/,80,70,20,18,70,70,3,,"['Intelligence', 'Longevity', 'Mind Control', 'Super Speed', 'Super Strength', 'Telepathy', 'Teleportation', 'Accelerated Healing', 'Element Control', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Hypnokinesis', 'Illusions', 'Magic', 'Possession', 'Reflexes', 'Regeneration', 'Stealth', 'Telekinesis', 'Wallcrawling', 'Weapon Creation', 'Weather Control', 'Invulnerability', 'Mind Control Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Enchantress', 'Red Ranked Warriors', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Enchantress
22,Envy,Envy,DC Extended Universe,https://www.superherodb.com/envy/10-27552/,65,65,65,40,60,65,3,,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Heat Resistance', 'Intelligence', 'Invulnerability', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Agility', 'Dexterity', 'Flight', 'Immortality', 'Jump', 'Stealth', 'DC Comics', 'DCEU - DC Extended Universe', 'Envy', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Envy
23,Faora-Ul,Faora,DC Extended Universe,https://www.superherodb.com/faora/10-15086/,70,95,60,45,70,85,3,,"['Agility', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Absorption', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Heat Resistance', 'Intelligence', 'Invulnerability', 'Jump', 'Longevity', 'Reflexes', 'Stamina', 'Stealth', 'Super Breath', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vision - Heat', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Telescopic', 'Vision - X-Ray', 'Accelerated Healing', 'Acrobatics', 'Dexterity', 'Energy Beams', 'Energy Blasts', 'Enhanced Smell', 'Flight', 'Heat Generation', 'Marksmanship', 'Master Martial Artist', 'Radiation Immunity', 'Self-Sustenance', 'Supernatural Condition', 'Vision - Night', 'Weapons Master', 'Master Tactician', 'Regeneration', 'DC Comics', 'DCEU - DC Extended Universe', 'Faora', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Faora
24,Frederick Christopher Freeman,Freddy Freeman,DC Extended Universe,https://www.superherodb.com/freddy-freeman/10-16682/#user,0,0,0,0,0,0,0,,"['DC Comics', 'DCEU - DC Extended Universe', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Freddy Freeman
25,Dru-Zod,General Zod,DC Extended Universe,https://www.superherodb.com/general-zod/10-12609/,70,100,50,40,75,85,3,,"['Agility', 'Cold Resistance', 'Energy Beams', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Flight', 'Heat Generation', 'Heat Resistance', 'Intelligence', 'Levitation', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Radiation Immunity', 'Spaceflight', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Vision - Heat', 'Weapons Master', 'Accelerated Healing', 'Acid Resistants', 'Berserk Mode', 'Dexterity', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Insanity', 'Invulnerability', 'Jump', 'Marksmanship', 'Reflexes', 'Regeneration', 'Shockwaves Generation', 'Space Survivability', 'Super Breath', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Adaptation', 'Energy Absorption', 'Ice Manipulation', 'Immortality', 'DC Comics', 'DCEU - DC Extended Universe', 'General Zod', 'Enderman Endy Villain That Make Endy Fight The True Villain', 'Man Of Steel (2013)', 'Movie Heroes', 'Red Ranked Warriors', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",General Zod
26,Gluttony,Gluttony,DC Extended Universe,https://www.superherodb.com/gluttony/10-27553/,65,65,65,40,60,65,3,,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Heat Resistance', 'Intelligence', 'Invulnerability', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Agility', 'Dexterity', 'Flight', 'Immortality', 'Jump', 'Shapeshifting', 'DC Comics', 'DCEU - DC Extended Universe', 'Gluttony', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Aleazlllll', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Gluttony
27,Yalan Gur,Green Lantern,DC Extended Universe,https://www.superherodb.com/green-lantern/10-27159/,65,75,25,40,65,70,3,,"['Cold Resistance', 'Durability', 'Endurance', 'Fire Resistance', 'Flight', 'Force Fields', 'Heat Resistance', 'Lantern Power Ring', 'Stamina', 'Super Speed', 'Super Strength', 'Agility', 'Animation', 'Dexterity', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Projection', 'Radiation Immunity', 'Reflexes', 'Stealth', 'Weapon-based Powers', 'Weapons Master', 'Acrobatics', 'DC Comics', 'DCEU - DC Extended Universe', 'Green Lantern', 'Aleazlllll', 'Ezio', 'TheReinhard', 'Rez005', 'BlotskyA', 'Ahasan', 'MoNsTeR', 'yes', 'Chronicler', 'Rotemeg', 'All Users']",Green Lantern
