Heroe 1,Heroe 2,Resultado
Aquaman,Ares,1
Aquaman,Atom Smasher,0
Aquaman,Batman,1
Aquaman,Black Adam,1
Aquaman,Black Canary,0
Aquaman,Black Manta,0
Aquaman,Black Mask,0
Aquaman,Bloodsport,0
Aquaman,Captain Boomerang,0
Aquaman,Cassandra Cain,0
Aquaman,Cheetah,0
Aquaman,Cyborg,0
Aquaman,Cyclone,0
Aquaman,Dark Flash,0
Aquaman,Darkseid,0
Aquaman,Deadshot,0
Aquaman,Doctor Fate,0
Aquaman,Doctor Sivana,0
Aquaman,Doomsday,0
Aquaman,El Diablo,0
Aquaman,Enchantress,0
Aquaman,Envy,0
Aquaman,Faora,0
Aquaman,Freddy Freeman,0
Aquaman,General Zod,0
Aquaman,Gluttony,0
Aquaman,Green Lantern,0
Aquaman,Harley Quinn,0
Aquaman,Hawkman,0
Aquaman,Hespera,0
Aquaman,Huntress,0
Aquaman,Incubus,0
Aquaman,Joker,0
Aquaman,Jor-El,0
Aquaman,Judomaster,0
Aquaman,Karathen,0
Aquaman,Katana,0
Aquaman,Killer Croc,0
Aquaman,King Nereus,0
Aquaman,King Shark,0
Aquaman,Lex Luthor,0
Aquaman,Lust,0
Aquaman,Mera,0
Aquaman,Mister Zsasz,0
Aquaman,Nam-Ek,0
Aquaman,Nuidis Vulko,0
Aquaman,Ocean Master,0
Aquaman,Parademon,0
Aquaman,Peacemaker,0
Aquaman,Penthesileia,0
Aquaman,Philippus,0
Aquaman,Polka-Dot Man,0
Aquaman,Queen Atlanna,0
Aquaman,Queen Hippolyta,0
Aquaman,Ratcatcher,0
Aquaman,Rick Flag,0
Aquaman,Sabbac,0
Aquaman,Savant,0
Aquaman,Shazam,0
Aquaman,Slipknot,0
Aquaman,Sol Soria,0
Aquaman,Starro,0
Aquaman,Steppenwolf,0
Aquaman,Supergirl,0
Aquaman,Superman,0
Aquaman,T.D.K.,0
Aquaman,The Flash,0
Aquaman,Vigilante,0
Aquaman,White Dragon,0
Aquaman,Wonder Woman,0
Aquaman,Wrath,0
Aquaman,Zeus,0
Aquaman,Agatha Harkness,0
Aquaman,Abomination,0
Aquaman,Ajak,0
Aquaman,Ancient One (Time Stone),0
Aquaman,Ancient One,0
Aquaman,Ant-Man,0
Aquaman,Arishem the Judge,0
Aquaman,Ayo,0
Aquaman,Baby Groot,0
Aquaman,Baron Mordo,0
Aquaman,Baron Zemo,0
Aquaman,Black Bolt (Earth-838),0
Aquaman,Black Bolt,0
Aquaman,Black Panther,0
Aquaman,Black Panther (Variant),0
Aquaman,Black Widow,0
Aquaman,Black Widow (Variant),0
Aquaman,Bucky Barnes,0
Aquaman,Bullseye,0
Aquaman,Captain America,0
Aquaman,Captain America (Worthy),0
Aquaman,Captain Carter (Earth-838),0
Aquaman,Captain Marvel,0
Aquaman,Chitauri Footsoldier,0
Aquaman,Corvus Glaive,0
Aquaman,Crossbones,0
Aquaman,Cull Obsidian,0
Aquaman,Dar-Benn,0
Aquaman,Daredevil,0
Aquaman,Deathlok,0
Aquaman,Destroyer,0
Aquaman,Doctor Strange,0
Aquaman,Dormammu,0
Aquaman,Drax the Destroyer,0
Aquaman,Ebony Maw,0
Aquaman,Echo,0
Aquaman,Ego,0
Aquaman,Elektra,0
Aquaman,Eternity,0
Aquaman,Falcon,0
Aquaman,Fandral,0
Aquaman,Fat Thor,0
Aquaman,Fenris,0
Aquaman,Frigga,0
Aquaman,Giah,0
Aquaman,Gamora,0
Aquaman,Gargantos,0
Aquaman,Ghost,0
Aquaman,Ghost Rider,0
Aquaman,Giant-Man,0
Aquaman,Gilgamesh,0
