nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
,Agatha Harkness,Marvel Cinematic Universe,https://www.superherodb.com/agatha-harkness/10-25794/,70,40,25,35,70,65,3,,"['Durability', 'Energy Blasts', 'Energy Constructs', 'Intelligence', 'Levitation', 'Longevity', 'Magic', 'Mind Control', 'Mind Control Resistance', 'Power Sense', 'Psionic Powers', 'Stamina', 'Super Speed', 'Super Strength', 'Telekinesis', 'Teleportation', 'Agility', 'Cold Resistance', 'Dexterity', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Manipulation', 'Fire Resistance', 'Flight', 'Illusions', 'Jump', 'Magic Resistance', 'Marksmanship', 'Master Tactician', 'Necromancy', 'Projection', 'Psychometry', 'Radiation Immunity', 'Reality Warping', 'Reflexes', 'Stealth', 'Transformation', 'Animation', 'Invulnerability', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Agatha Harkness', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Agatha Harkness
Emil Blonsky,Abomination,Marvel Cinematic Universe,https://www.superherodb.com/abomination/10-12512/,65,100,25,50,65,70,3,3,"['Cold Resistance', 'Durability', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Intelligence', 'Jump', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Agility', 'Dexterity', 'Electricity Resistance', 'Heat Resistance', 'Invulnerability', 'Longevity', 'Natural Armor', 'Natural Weapons', 'Radiation Immunity', 'Regeneration', 'Shockwaves Generation', 'Stealth', 'Toxin and Disease Resistance', 'Transformation', 'Adaptation', 'Insanity', 'Large Size', 'Marksmanship', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Abomination', 'Mcu Thunderbolts', 'Movie Heroes', 'My Collection', 'The Incredible Hulk (2008)', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Abomination
Ajak,Ajak,Marvel Cinematic Universe,https://www.superherodb.com/ajak/10-26887/,65,25,19,25,50,70,2,,"['Accelerated Healing', 'Agility', 'Durability', 'Intelligence', 'Master Tactician', 'Multilingualism', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Vitakinesis', 'Cold Resistance', 'Endurance', 'Energy Manipulation', 'Energy Resistance', 'Immortality', 'Marksmanship', 'Regeneration', 'Self-Sustenance', 'Stealth', 'Weapons Master', 'Dexterity', 'Energy Constructs', 'Heat Resistance', 'Telepathy', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Ajak
,Ancient One (time stone),Marvel Cinematic Universe,https://www.superherodb.com/ancient-one-time-stone/10-63877/,85,8,25,15,100,100,6,6++,"['Anti-Gravity', 'Astral Projection', 'Conceptual Manipulation', 'Corruption Resistance', 'Dimensional Travel', 'Durability', 'Endurance', 'Energy Constructs', 'Energy Manipulation', 'Fate Manipulation', 'Force Fields', 'Gravity Control', 'Immortality', 'Intelligence', 'Interstellar Travel', 'Longevity', 'Magic', 'Master Martial Artist', 'Matter Manipulation', 'Mind Control Resistance', 'Portal Creation', 'Self-Sustenance', 'Soul Manipulation', 'Spatial Manipulation', 'Stamina', 'Super Strength', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Acausality', 'Acid Resistants', 'Acrobatics', 'Agility', 'Banish', 'Camouflage', 'Causality Manipulation', 'Causality Resistance', 'Cloaking', 'Cold Resistance', 'Dark Magic', 'Dream Manipulation', 'Durability Negation', 'Electricity Resistance', 'Element Control', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Illusions', 'Magic Resistance', 'Master Tactician', 'Molecular Manipulation', 'Multilingualism', 'Physics Manipulation', 'Power Nullifier', 'Precognition', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Soul Resistance', 'Stealth', 'Telekinesis', 'Teleportation', 'Toxin and Disease Resistance', 'Vitakinesis', 'Weapon Creation', 'Weapons Master', 'Wind Control', 'Duplication', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Ancient One (Time Stone)
,Ancient One,Marvel Cinematic Universe,https://www.superherodb.com/ancient-one/10-12735/,85,8,25,25,90,100,4,,"['Anti-Gravity', 'Astral Projection', 'Dimensional Travel', 'Endurance', 'Energy Constructs', 'Energy Manipulation', 'Gravity Control', 'Intelligence', 'Interstellar Travel', 'Magic', 'Master Martial Artist', 'Matter Manipulation', 'Portal Creation', 'Self-Sustenance', 'Soul Manipulation', 'Spatial Manipulation', 'Stamina', 'Super Strength', 'Acid Resistants', 'Acrobatics', 'Agility', 'Banish', 'Camouflage', 'Causality Manipulation', 'Causality Resistance', 'Cloaking', 'Cold Resistance', 'Dark Magic', 'Dream Manipulation', 'Durability Negation', 'Electricity Resistance', 'Element Control', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Force Fields', 'Illusions', 'Immortality', 'Longevity', 'Magic Resistance', 'Master Tactician', 'Mind Control Resistance', 'Molecular Manipulation', 'Multilingualism', 'Physics Manipulation', 'Power Nullifier', 'Precognition', 'Reality Warping', 'Reflexes', 'Soul Resistance', 'Stealth', 'Telekinesis', 'Teleportation', 'Time Manipulation', 'Toxin and Disease Resistance', 'Vitakinesis', 'Weapons Master', 'Reality Warping Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ancient One', 'Avengers: Endgame (2019)', 'My Collection', 'Red Ranked Warriors', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Ancient One
Scott Lang,Ant-Man,Marvel Cinematic Universe,https://www.superherodb.com/ant-man/10-12594/,70,25,15,15,35,50,1,,"['Agility', 'Animal Control', 'Durability', 'Enhanced Condition', 'Indomitable Will', 'Intelligence', 'Jump', 'Size Changing', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Ability Shift', 'Acrobatics', 'Adaptation', 'Endurance', 'Stealth', 'Energy Blasts', 'Flight', 'Hacking', 'Large Size', 'Master Martial Artist', 'Master Tactician', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ant-Man', 'Avengers: Endgame (2019)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'White Ranked Warriors', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Ant-Man
Arishem,Arishem The Judge,Marvel Cinematic Universe,https://www.superherodb.com/arishem-the-judge/10-30325/,100,100,100,100,100,65,6,6++,"['Accelerated Healing', 'Acid Resistants', 'Age Manipulation', 'Agility', 'Animation', 'Antimatter Manipulation', 'Banish', 'Black Hole Manipulation', 'Clairvoyance', 'Cold Resistance', 'Cosmic Awareness', 'Creation', 'Dark Matter Manipulation', 'Durability', 'Electricity Resistance', 'Electrokinesis', 'Element Control', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Gravity Control', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Illusions', 'Immortality', 'Indomitable Will', 'Information Analysis', 'Inorganic Physiology', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Large Size', 'Latent Abilities', 'Life Manipulation', 'Longevity', 'Master Tactician', 'Matter Absorption', 'Memory Manipulation', 'Mind Control Resistance', 'Molecular Manipulation', 'Nigh-Omniscience', 'Non-Physical Interaction', 'Omnilingualism', 'Petrification', 'Portal Creation', 'Power Augmentation', 'Power Bestowal', 'Power Modification', 'Projection', 'Radiation Control', 'Radiation Immunity', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Self-Sustenance', 'Shockwaves Generation', 'Soul Resistance', 'Stamina', 'Stealth', 'Summoning', 'Super Speed', 'Super Strength', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Terrakinesis', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Underwater breathing', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Vortex Creation', 'Water Control', 'Weather Control', 'Wind Control', 'Attack Negation', 'Aura', 'Corruption Resistance', 'Danger Sense', 'Dexterity', 'Illusion Resistance', 'Marksmanship', 'Quantum Manipulation', 'Regeneration', 'Spatial Awareness', 'Spatial Manipulation', 'Time Manipulation', 'Wishing', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Arishem The Judge', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Arishem the Judge
Ayo,Ayo,Marvel Cinematic Universe,https://www.superherodb.com/ayo/10-28649/,65,6,7,10,5,85,1,,"['Acrobatics', 'Intelligence', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Weapons Master', 'Dexterity', 'Endurance', 'Master Martial Artist', 'Stealth', 'Agility', 'Durability Negation', 'Master Tactician', 'Reflexes', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Ayo
Groot Dutch,Baby Groot,Marvel Cinematic Universe,https://www.superherodb.com/baby-groot/10-11283/,45,1,1,10,10,15,0,,"['Stamina', 'Super Strength', 'Agility', 'Berserk Mode', 'Stealth', 'The Fourth Wall', 'Plant Control', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Guardians of the Galaxy', 'Groot', 'My Favorite Characters ⭐ Pcf Updated', 'Rotemeg', 'Ahasan', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Baby Groot
Karl Mordo,Baron Mordo,Marvel Cinematic Universe,https://www.superherodb.com/baron-mordo/10-15123/,70,6,25,10,70,85,3,3,"['Endurance', 'Energy Constructs', 'Indomitable Will', 'Intelligence', 'Magic', 'Master Martial Artist', 'Peak Human Condition', 'Portal Creation', 'Stamina', 'Stealth', 'Super Speed', 'Swordsmanship', 'Teleportation', 'Acrobatics', 'Agility', 'Astral Projection', 'Dexterity', 'Dimensional Travel', 'Energy Absorption', 'Energy Manipulation', 'Fire Resistance', 'Force Fields', 'Illumination', 'Jump', 'Levitation', 'Marksmanship', 'Master Tactician', 'Matter Manipulation', 'Mind Control Resistance', 'Power Absorption', 'Power Nullifier', 'Reflexes', 'Spatial Manipulation', 'Time Manipulation Resistance', 'Weapon-based Powers', 'Weapons Master', 'Flight', 'Heat Resistance', 'Invulnerability', 'Multilingualism', 'Reality Warping', 'Soul Manipulation', 'Soul Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Baron Mordo', 'Doctor Strange In The Multiverse Of Madness (2022)', 'My Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Baron Mordo
