id,name,description,modified,comics_available,series_available,stories_available,events_available,event_available,thumbnail
1011334,3-D Man,,2014-04-29T14:18:17-0400,12,3,21,21,1,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg
1017100,A-Bomb (HAS),"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ",2013-09-18T15:54:04-0400,4,2,7,7,0,http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg
1009144,A.I.M.,AIM is a terrorist organization bent on destroying the world.,2013-10-17T14:41:30-0400,53,36,57,57,0,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg
1010699,Aaron Stack,,1969-12-31T19:00:00-0500,14,3,27,27,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009146,Abomination (Emil Blonsky),"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",2012-03-20T12:32:12-0400,58,28,68,68,1,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg
1016823,Abomination (Ultimate),,2012-07-10T19:11:52-0400,2,2,3,3,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009148,Absorbing Man,,2013-10-24T14:32:08-0400,104,53,116,116,5,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg
1009149,Abyss,,2014-04-29T14:10:43-0400,8,3,8,8,1,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg
1010903,Abyss (Age of Apocalypse),,1969-12-31T19:00:00-0500,3,3,2,2,1,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg
1011266,Adam Destine,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010354,Adam Warlock,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.,2013-08-07T13:49:06-0400,202,89,231,231,8,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg
1010846,Aegis (Trey Rollins),,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif
1017851,Aero (Aero),,2021-08-27T17:52:34-0400,29,5,29,29,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1012717,Agatha Harkness,,2021-08-06T11:30:56-0400,23,12,28,28,0,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/4ce5a9bf70e19.jpg
1011297,Agent Brand,,2013-10-24T13:09:30-0400,35,9,39,39,0,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg
1011031,Agent X (Nijo),"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",1969-12-31T19:00:00-0500,18,3,23,23,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009150,Agent Zero,,1969-12-31T19:00:00-0500,29,10,31,31,0,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg
1011198,Agents of Atlas,,2016-02-03T10:25:22-0500,45,13,52,52,1,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg
1011175,Aginar,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011136,Air-Walker (Gabriel Lan),,1969-12-31T19:00:00-0500,4,3,3,3,1,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011176,Ajak,,1969-12-31T19:00:00-0500,4,1,8,8,1,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg
1010870,Ajaxis,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a.jpg
1011194,Akemi,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011170,Alain,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009240,Albert Cleary,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011120,Albion,,1969-12-31T19:00:00-0500,1,1,1,1,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010836,Alex Power,,2011-10-27T09:57:58-0400,21,7,28,28,0,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82.jpg
1010755,Alex Wilder,"Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy.",1969-12-31T19:00:00-0500,9,4,9,9,0,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a.jpg
1011214,Alexa Mendez,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009497,Alexander Pierce,,1969-12-31T19:00:00-0500,1,1,1,1,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1014990,Alice,,2010-11-18T16:01:44-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573.jpg
1009435,Alicia Masters,,1969-12-31T19:00:00-0500,78,22,102,102,2,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae.jpg
1010370,Alpha Flight,,2013-10-24T13:09:22-0400,221,44,390,390,6,http://i.annihil.us/u/prod/marvel/i/mg/1/60/52695277ee088.jpg
1011324,Alpha Flight (Ultimate),,1969-12-31T19:00:00-0500,2,1,4,4,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011164,Alvin Maker,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011227,Amadeus Cho,,2013-08-07T13:50:56-0400,150,35,176,176,5,http://i.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581.jpg
1009567,Amanda Sefton,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011382,Amazoness,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011361,American Eagle (Jason Strongbow),,1969-12-31T19:00:00-0500,6,2,6,6,0,http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a.jpg
1009151,Amiko,,1969-12-31T19:00:00-0500,12,3,12,12,1,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010672,Amora,,1969-12-31T19:00:00-0500,13,4,8,8,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010673,Amphibian (Earth-712),,1969-12-31T19:00:00-0500,4,3,3,3,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010905,Amun,"Amun is a ruthless teenage assassin, employed by the Sisterhood of the Wasp to serve under the mage Vincent after Araña interrupted the ritual to initiate the Wasp's new chosen one.",1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009152,Ancient One,,1969-12-31T19:00:00-0500,30,11,34,34,2,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4ce59ea2103ac.jpg
1016824,Ancient One (Ultimate),,2012-07-10T19:15:49-0400,2,2,1,1,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011684,Angel (Angel Salvadore),"Driven out of home by her abusive step-father, fourteen-year old Angel Salvadore slept in the woods, where her mutant nature manifested itself in the form of a protective cocoon.",2021-08-19T00:06:46-0400,5,4,3,3,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011396,Angel (Thomas Halloway),,2014-03-05T13:14:48-0500,10,5,9,9,0,http://i.annihil.us/u/prod/marvel/i/mg/d/03/531769834b15f.jpg
1011338,Angel (Ultimate),,2014-03-05T13:15:49-0500,19,3,33,33,0,http://i.annihil.us/u/prod/marvel/i/mg/4/50/531769ae4399f.jpg
1009153,Angel (Warren Worthington III),,2012-05-30T14:06:57-0400,118,48,124,124,5,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1017574,Angela (Aldrif Odinsdottir),,2014-11-17T17:45:37-0500,38,16,38,38,1,http://i.annihil.us/u/prod/marvel/i/mg/7/00/545a82f59dd73.jpg
