Heroe 1,Heroe 2,Resultado Comics,Resultado Peliculas,Ganador
Aquaman,Ares,1,2,0
Aquaman,Atom Smasher,2,1,0
Aquaman,Batman,2,2,2
Aquaman,Black Adam,2,2,2
Aquaman,Black Canary,1,1,1
Aquaman,Black Manta,1,2,0
Aquaman,Black Mask,0,2,0
Aquaman,Bloodsport,2,2,2
Aquaman,Captain Boomerang,2,2,2
Aquaman,Cassandra Cain,2,1,0
Aquaman,Cheetah,0,0,0
Aquaman,Cyborg,2,1,0
Aquaman,Cyclone,2,2,2
Aquaman,Dark Flash,1,0,0
Aquaman,Darkseid,1,2,0
Aquaman,Deadshot,1,2,0
Aquaman,Doctor Fate,1,2,0
Aquaman,Doctor Sivana,1,1,1
Aquaman,Doomsday,1,1,1
Aquaman,El Diablo,1,1,1
Aquaman,Enchantress,2,0,0
Aquaman,Envy,1,0,0
Aquaman,Faora,1,0,0
Aquaman,Freddy Freeman,1,2,0
Aquaman,General Zod,1,1,1
Aquaman,Gluttony,2,1,0
Aquaman,Green Lantern,1,1,1
Aquaman,Harley Quinn,1,1,1
Aquaman,Hawkman,2,1,0
Aquaman,Hespera,0,1,0
Aquaman,Huntress,2,2,2
Aquaman,Incubus,1,1,1
Aquaman,Joker,0,2,0
Aquaman,Jor-El,2,0,0
Aquaman,Judomaster,2,2,2
Aquaman,Karathen,2,2,2
Aquaman,Katana,1,2,0
Aquaman,Killer Croc,0,2,0
Aquaman,King Nereus,2,1,0
Aquaman,King Shark,1,1,1
Aquaman,Lex Luthor,1,1,1
Aquaman,Lust,1,1,1
Aquaman,Mera,0,1,0
Aquaman,Mister Zsasz,2,2,2
Aquaman,Nam-Ek,1,0,0
Aquaman,Nuidis Vulko,2,1,0
Aquaman,Ocean Master,1,1,1
Aquaman,Parademon,1,2,0
Aquaman,Peacemaker,1,2,0
Aquaman,Penthesileia,1,1,1
Aquaman,Philippus,2,1,0
Aquaman,Polka-Dot Man,2,1,0
Aquaman,Queen Atlanna,2,2,2
Aquaman,Queen Hippolyta,2,0,0
Aquaman,Ratcatcher,2,2,2
Aquaman,Rick Flag,2,1,0
Aquaman,Sabbac,0,1,0
Aquaman,Savant,1,2,0
Aquaman,Shazam,0,2,0
Aquaman,Slipknot,1,2,0
Aquaman,Sol Soria,1,0,0
Aquaman,Starro,1,2,0
Aquaman,Steppenwolf,2,1,0
Aquaman,Supergirl,1,1,1
Aquaman,Superman,1,1,1
Aquaman,T.D.K.,1,1,1
Aquaman,The Flash,1,2,0
Aquaman,Vigilante,2,1,0
Aquaman,White Dragon,0,2,0
Aquaman,Wonder Woman (Armor of Asteria),2,1,0
Aquaman,Wrath,2,0,0
Aquaman,Zeus,1,2,0
Aquaman,Agatha Harkness,0,2,0
Aquaman,Abomination,2,2,2
Aquaman,Ajak,2,2,2
Aquaman,Ancient One (time stone),2,1,0
Aquaman,Ancient One,2,2,2
Aquaman,Ant-Man,0,2,0
Aquaman,Arishem The Judge,1,1,1
Aquaman,Ayo,1,2,0
Aquaman,Baby Groot,2,2,2
Aquaman,Baron Mordo,2,1,0
Aquaman,Baron Zemo,1,2,0
Aquaman,Black Bolt (Earth 838),0,0,0
Aquaman,Black Bolt,1,2,0
Aquaman,Black Panther,1,1,1
Aquaman,Black Panther,2,1,0
Aquaman,Black Widow,2,2,2
Aquaman,Black Widow,2,1,0
Aquaman,Bucky Barnes,1,1,1
Aquaman,Bullseye,1,2,0
Aquaman,Captain America,2,2,2
Aquaman,Captain America (Worthy),2,2,2
Aquaman,Captain Carter (Earth 838),2,1,0
Aquaman,Captain Marvel,2,1,0
Aquaman,Chitauri Footsoldier,1,2,0
Aquaman,Corvus Glaive,1,2,0
Aquaman,Crossbones,1,1,1
Aquaman,Cull Obsidian,0,2,0
Aquaman,Dar-Benn,1,0,0
Aquaman,Daredevil,0,0,0
Aquaman,Deathlok,2,1,0
Aquaman,Destroyer,1,1,1
Aquaman,Doctor Strange,1,0,0
Aquaman,Dormammu,2,2,2
Aquaman,Drax The Destroyer,1,1,1
Aquaman,Ebony Maw,1,2,0
Aquaman,Echo,2,2,2
Aquaman,Ego,1,2,0
Aquaman,Elektra,0,1,0
Aquaman,Eternity,1,1,1
Aquaman,Falcon,1,2,0
Aquaman,Fandral,2,1,0
Aquaman,Fat Thor,2,2,2
Aquaman,Fenris,2,1,0
Aquaman,Frigga,2,1,0
Aquaman,G'iah,2,2,2
Aquaman,Gamora,1,2,0
Aquaman,Gargantos,2,0,0
Aquaman,Ghost,1,1,1
Aquaman,Ghost Rider,2,2,2
Aquaman,Giant-Man,2,1,0
Aquaman,Gilgamesh,1,0,0
Aquaman,Gorr The God Butcher,1,1,1
Aquaman,Gravik,1,1,1
Aquaman,Groot,1,2,0
Aquaman,Hawkeye,2,1,0
Aquaman,Hawkeye,2,2,2
Aquaman,Heimdall,0,2,0
Aquaman,Hela,1,2,0
Aquaman,High Evolutionary,1,1,1
Aquaman,Hulk (Stark Gauntlet),1,0,0
Aquaman,Hulk,1,2,0
Aquaman,Ikaris,1,0,0
Aquaman,Iron Fist,2,2,2
Aquaman,Iron Man,1,0,0
Aquaman,Iron Man (Mk 1),1,2,0
Aquaman,Iron Man (Stark Gauntlet),2,2,2
Aquaman,Iron Man (Hulkbuster),1,1,1
Aquaman,Iron Monger,2,1,0
Aquaman,Iron Spider,2,1,0
Aquaman,Ironheart,1,1,1
Aquaman,Jemiah The Analyzer,1,1,1
Aquaman,Jessica Jones,1,2,0
Aquaman,Kaecilius,1,1,1
Aquaman,Kang the Conqueror,0,1,0
Aquaman,Killian,2,1,0
Aquaman,Killmonger,1,1,1
Aquaman,Kingo,0,1,0
Aquaman,Kingpin,1,2,0
Aquaman,Korath The Pursuer,2,2,2
Aquaman,Korg,1,1,1
Aquaman,Kro,1,1,1
Aquaman,Kurse,1,2,0
Aquaman,Kid Loki,2,1,0
Aquaman,Lady Loki,1,0,0
Aquaman,Leo Fitz,2,2,2
