Heroe_1,Heroe_2,universo_1,Intelligence_1,Strength_1,Speed_1,Durability_1,Power_1,Combat_1,Tier_1,Tier2_1,universo_2,Intelligence_2,Strength_2,Speed_2,Durability_2,Power_2,Combat_2,Tier_2,Tier2_2,Resultado_x
Aquaman,Ares,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,90,100,50,50,70,100,4,4,2
Aquaman,Atom Smasher,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,30,25,25,40,20,2,,1
Aquaman,Batman,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,13,11,15,20,95,1,,1
Aquaman,Black Adam,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,100,75,45,75,75,3,3,2
Aquaman,Black Canary,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,1,6,5,35,40,1,,1
Aquaman,Black Manta,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,25,25,20,40,60,2,,1
Aquaman,Black Mask,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,1,6,5,5,30,0,,1
Aquaman,Bloodsport,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,1,8,15,20,85,1,,1
Aquaman,Captain Boomerang,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,45,1,6,7,10,40,0,,1
Aquaman,Cassandra Cain,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,45,1,1,1,1,30,0,,1
Aquaman,Cheetah,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,50,14,15,30,65,1,,1
Aquaman,Cyborg,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,40,30,35,65,50,2,,1
Aquaman,Cyclone,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,1,25,15,50,40,1,,1
Aquaman,Dark Flash,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,25,100,35,85,50,5,,2
Aquaman,Darkseid,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,95,100,30,55,90,95,4,4,2
Aquaman,Deadshot,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,1,6,7,17,45,1,0++,1
Aquaman,Doctor Fate,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,85,75,60,45,85,70,3,3+,2
Aquaman,Doctor Sivana,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,95,60,40,70,55,3,,2
Aquaman,Doomsday,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,35,100,45,45,75,25,3,,2
Aquaman,El Diablo,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,25,6,10,35,45,1,,1
Aquaman,Enchantress,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,70,20,18,70,70,3,,2
Aquaman,Envy,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,65,65,40,60,65,3,,2
Aquaman,Faora,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,95,60,45,70,85,3,,2
Aquaman,Freddy Freeman,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,0,0,0,0,0,0,0,,1
Aquaman,General Zod,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,100,50,40,75,85,3,,2
Aquaman,Gluttony,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,65,65,40,60,65,3,,2
Aquaman,Green Lantern,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,75,25,40,65,70,3,,2
Aquaman,Harley Quinn,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,5,8,10,10,80,1,,1
Aquaman,Hawkman,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,30,25,25,50,80,2,,1
Aquaman,Hespera,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,0,0,0,0,0,0,0,,1
Aquaman,Huntress,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,50,1,1,5,5,50,1,,1
Aquaman,Incubus,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,30,6,30,50,30,2,,1
Aquaman,Joker,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,1,7,5,10,45,1,,1
Aquaman,Jor-El,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,1,6,10,10,80,1,,1
Aquaman,Judomaster,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,1,6,15,10,100,1,,1
Aquaman,Karathen,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,75,95,25,50,60,30,3,,2
Aquaman,Katana,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,1,7,9,15,80,1,,1
Aquaman,Killer Croc,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,45,25,14,20,30,40,1,,1
Aquaman,King Nereus,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,45,30,25,45,75,2,,1
Aquaman,King Shark,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,50,30,17,25,40,40,1,1+,1
Aquaman,Lex Luthor,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,1,1,5,1,15,1,,1
Aquaman,Lust,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,65,65,40,60,65,3,,2
Aquaman,Mera,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,30,25,30,45,70,2,,1
Aquaman,Mister Zsasz,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,50,1,1,5,5,30,0,,1
Aquaman,Nam-Ek,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,95,50,40,70,65,3,,2
Aquaman,Nuidis Vulko,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,30,25,20,40,90,1,,1
Aquaman,Ocean Master,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,55,30,35,50,90,3,,2
Aquaman,Parademon,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,25,17,10,20,60,1,,1
Aquaman,Peacemaker,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,5,7,15,20,80,1,,1
Aquaman,Penthesileia,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,65,50,35,50,95,2,,2
Aquaman,Philippus,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,75,50,35,35,75,2,,2
Aquaman,Polka-Dot Man,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,1,6,10,35,35,1,,1
Aquaman,Queen Atlanna,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,30,25,30,50,75,2,,1
Aquaman,Queen Hippolyta,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,85,30,25,30,40,100,2,,2
Aquaman,Ratcatcher,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,1,6,5,10,20,1,,1
Aquaman,Rick Flag,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,1,6,10,10,70,1,,1
Aquaman,Sabbac,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,70,100,50,45,75,70,3,,2
Aquaman,Savant,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,1,1,5,10,40,1,,1
Aquaman,Shazam,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,95,60,40,70,30,3,3,2
Aquaman,Slipknot,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,45,1,1,5,5,30,0,,1
Aquaman,Sol Soria,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,55,1,1,5,5,40,0,,1
Aquaman,Starro,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,70,25,25,60,30,2,,1
Aquaman,Steppenwolf,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,90,90,25,45,65,100,3,,2
Aquaman,Supergirl,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,75,50,40,75,45,3,,2
Aquaman,Superman,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,100,85,45,80,50,3,4,2
Aquaman,T.D.K.,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,50,1,6,10,30,40,1,,1
Aquaman,The Flash,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,25,100,30,85,40,5,,2
Aquaman,Vigilante,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,60,1,7,10,10,70,1,,1
Aquaman,White Dragon,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,13,25,10,20,40,1,,1
Aquaman,Wonder Woman,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,80,95,70,60,55,100,3,,2
Aquaman,Wrath,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,65,65,65,40,60,65,3,,2
Aquaman,Zeus,DC Extended Universe,65,50,25,30,45,80,3,,DC Extended Universe,95,100,25,50,80,85,4,4,2
Ares,Atom Smasher,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,30,25,25,40,20,2,,1
