Heroe 1,Heroe 2,Resultado_Comics,Resultado_Peliculas,Resultado_Combinado
Envy,Ancient One,2,1,2
Warlock,Judomaster,1,2,1
Deadshot,Corvus Glaive,2,1,2
Doctor Fate,Makkari,2,1,2
Yellowjacket,Black Adam,2,1,2
Cull Obsidian,Black Bolt,1,2,1
Gargantos,Wong,2,1,2
Batman,Falcon,2,1,2
Phastos,Heimdall,1,2,1
Loki (Mind Stone),Ironheart,1,2,1
Gorr the God Butcher,Mandarin,2,1,2
Star-Lord,Iron Spider,2,1,2
Bucky Barnes,Shang-Chi,2,1,2
Ego,Lady Loki,2,1,2
Dar-Benn,Thena,1,2,1
The Flash,Dormammu,1,2,1
Bullseye,Phastos,1,2,1
Kro,Gilgamesh,1,2,1
Whiplash,Katana,1,2,1
Ronan the Accuser,Black Widow (Variant),2,1,2
Loki (Mind Stone),Baron Mordo,1,2,1
Hela,Ancient One,2,1,2
Valkyrie,Loki (Keeper of the Multiverse),2,1,2
Whiplash Mark II,Hela,1,2,1
Ghost Rider,Smart Hulk,2,1,2
Judomaster,Black Mask,1,2,1
Doomsday,Hawkeye,1,2,1
The Punisher,Jemiah the Analyzer,1,2,1
Falcon,Makkari,1,2,1
Valkyrie,Incubus,1,2,1
Kurse,Gilgamesh,2,1,2
Leo Fitz,Black Widow (Variant),1,2,1
Gluttony,Doomsday,2,1,2
White Dragon,Killer Croc,2,1,2
Dar-Benn,Black Widow,1,2,1
Mr. Fantastic (Earth-838),Bucky Barnes,1,2,1
Okoye,Loki,2,1,2
Whiplash Mark II,Sif,1,2,1
Ancient One (Time Stone),Daredevil,2,1,2
Slipknot,Gorr the God Butcher,1,2,1
Deathlok,Quake,1,2,1
Dormammu,Thor (Pre-Ragnarok),1,2,1
Bullseye,Red Guardian,2,1,2
Ares,Deadshot,2,1,2
Valkyrie,Gluttony,1,2,1
Chitauri Footsoldier,MBaku,2,1,2
Outrider,Black Canary,1,2,1
Kro,Mantis,2,1,2
Deadshot,Doctor Strange,1,2,1
Drax the Destroyer,Ronan the Accuser,1,2,1
Loki (Mind Stone),The Collector,2,1,2
Black Bolt,Swole Groot,1,2,1
Envy,Kro,2,1,2
Makkari,Pepper Potts (Extremis),1,2,1
Groot,Parademon,1,2,1
Surtur,Starro,1,2,1
Groot,Doctor Fate,2,1,2
Thanos,Black Bolt,1,2,1
Luke Cage,Kro,2,1,2
Mysterio,Philippus,2,1,2
Groot,The Punisher,2,1,2
Captain Carter (Earth-838),Polka-Dot Man,1,2,1
Kang the Conqueror,Iron Man (Stark Gauntlet),1,2,1
Cheetah,Rick Flag,2,1,2
Red Skull,Iron Spider,2,1,2
Malekith (Reality Stone),Deathlok,2,1,2
Lust,Vigilante,1,2,1
Agatha Harkness,Cull Obsidian,1,2,1
High Evolutionary,Ayo,2,1,2
Leo Fitz,Nick Fury,1,2,1
Zeus,Ironheart,1,2,1
General Zod,Giant-Man,2,1,2
Thena,Thor,2,1,2
Harley Quinn,Dar-Benn,1,2,1
Hela,Shazam,2,1,2
Harley Quinn,Incubus,1,2,1
Green Lantern,Black Manta,2,1,2
Wasp,Doctor Sivana,1,2,1
Hulk,Mantis,2,1,2
Eternity,Loki (King of Asgard),1,2,1
Thanos,Deadshot,2,1,2
Jemiah the Analyzer,Black Widow,2,1,2
Hawkeye,Envy,2,1,2
Loki (Variant L1130),Sersi,1,2,1
Swole Groot,Ares,1,2,1
Jessica Jones,Black Bolt (Earth-838),1,2,1
Ronin,Unworthy Thor,1,2,1
Leviathan,Ronin,2,1,2
Spectral Vision,Ebony Maw,1,2,1
Swole Groot,Kaecilius,1,2,1
Teenage Groot,Supergirl,1,2,1
Thanos,Corvus Glaive,1,2,1
Whiplash Mark II,Judomaster,2,1,2
Swole Groot,Aquaman,2,1,2
Ebony Maw,Ajak,1,2,1
Dormammu,The Executioner,2,1,2
Fandral,Iron Man,2,1,2
Queen Atlanna,Deathlok,2,1,2
Gamora,Leo Fitz,2,1,2
Black Manta,Loki (King of Asgard),2,1,2
Yondu,Loki (Variant L1130),1,2,1
Kurse,King Nereus,2,1,2
The Collector,Korg,2,1,2
Supergirl,Thor (Pre-Ragnarok),2,1,2
Sabbac,Kro,1,2,1
Ikaris,Black Mask,2,1,2
Mandarin,Envy,2,1,2
Sabbac,Bucky Barnes,2,1,2
Ikaris,Bucky Barnes,1,2,1
Gilgamesh,Leo Fitz,1,2,1
Hulk (Stark Gauntlet),Penthesileia,1,2,1
MBaku,Groot,2,1,2
Superman,Korath the Pursuer,1,2,1
Captain Carter (Earth-838),Groot,1,2,1
Yellowjacket,Daredevil,1,2,1
Red Guardian,Faora,2,1,2
Teenage Groot,Green Lantern,2,1,2
Fenris,Mr. Fantastic (Earth-838),2,1,2
Green Lantern,Daredevil,1,2,1
Baby Groot,Faora,1,2,1
Kang the Conqueror,Penthesileia,1,2,1
Red Skull (Stonekeeper),Corvus Glaive,1,2,1
Sif,Vigilante,1,2,1
Ironheart,Leo Fitz,2,1,2
White Wolf,Valkyrie,2,1,2
Teenage Groot,Steppenwolf,2,1,2
Cassandra Cain,Vigilante,1,2,1
The Great Protector,Black Widow,1,2,1
Gargantos,Frigga,2,1,2
Iron Man (Hulkbuster),Savant,2,1,2
Slipknot,Black Widow (Variant),2,1,2
The Executioner,Baron Zemo,2,1,2
Korg,Gorr the God Butcher,1,2,1
